Sample size	Est rate	Est power	Online rate	Online power
46	0.953733414	0.956191836	0.876146562	0.933136824
47	0.953786922	0.959431589	0.875991819	0.935364705
48	0.954447055	0.954409561	0.875730745	0.933001996
49	0.956027087	0.961527115	0.878572563	0.934743092
50	0.956518755	0.960014242	0.87052535	0.932087228
51	0.956633114	0.962331081	0.874310067	0.933365575
52	0.957904015	0.958661928	0.872749058	0.933382962
53	0.958650368	0.959383953	0.872352727	0.932302883
54	0.962570923	0.968043527	0.877949387	0.934872154
55	0.962010827	0.960696172	0.874745275	0.934027446
56	0.964553773	0.971418997	0.874672045	0.931605124
57	0.962624402	0.963403371	0.878922644	0.934907701
58	0.962157366	0.958907649	0.878080776	0.935387794
59	0.963273149	0.964992984	0.878097635	0.93428062
60	0.965161684	0.962716844	0.878820201	0.934123626
61	0.970098056	0.976872308	0.877709495	0.935984095
62	0.966725746	0.968573871	0.879660867	0.937660841
63	0.96916099	0.970711101	0.877306835	0.936303356
64	0.969126641	0.971698617	0.880271292	0.937849465
65	0.972003317	0.973724207	0.882455459	0.937694311
66	0.971163731	0.969595861	0.882655636	0.938082111
67	0.970871435	0.974336274	0.879757056	0.937805091
68	0.969956295	0.973556905	0.879791468	0.937294523
69	0.971267647	0.970610409	0.879384647	0.936086351
70	0.974828477	0.974774072	0.881758903	0.938451651
71	0.973724302	0.974602949	0.881852954	0.938490446
72	0.972838057	0.974789727	0.879942549	0.93782977
73	0.974302996	0.974264226	0.881728968	0.937120892
74	0.977176604	0.976856921	0.881020345	0.938572341
75	0.977000954	0.980383422	0.883011754	0.938999081
76	0.975174253	0.976619399	0.880966784	0.937871355
77	0.977805846	0.976634479	0.88132111	0.939091941
78	0.978116393	0.982312657	0.881712876	0.938360222
79	0.978189911	0.982429513	0.882687763	0.939490313
80	0.980916336	0.982470788	0.883743995	0.939964748
81	0.979144969	0.973155378	0.882860373	0.937630179
82	0.980096021	0.981261182	0.881650148	0.938749591
83	0.982517898	0.983424617	0.880196167	0.937451672
84	0.980081302	0.981811408	0.883003835	0.939752034
85	0.981810997	0.981491853	0.883227095	0.939933475
86	0.980864434	0.979036532	0.88368837	0.939018894
87	0.980591116	0.979622251	0.882821963	0.9382292
88	0.983824043	0.978305402	0.883769796	0.938701501
89	0.983072235	0.984730904	0.882990015	0.939300765
90	0.983472281	0.985050843	0.883057052	0.939200521
91	0.984764683	0.984049496	0.883403042	0.939696255
92	0.983644614	0.978999654	0.883016816	0.938203304
93	0.987256586	0.985973669	0.884615041	0.939892501
94	0.987787883	0.991051186	0.883985388	0.939721557
95	0.986389706	0.984916504	0.884275414	0.939468895
96	0.988710024	0.989079376	0.884030605	0.940360953
97	0.989105416	0.989792155	0.884681895	0.940289737
98	0.988797699	0.985420062	0.884170215	0.940246312
99	0.987495633	0.985229022	0.884546947	0.940018961
100	0.989618409	0.991017972	0.884646494	0.940547505
101	0.988906256	0.990950611	0.883377377	0.940128638
102	0.990287869	0.987364164	0.884866404	0.93974917
103	0.99148306	0.989725288	0.885015559	0.940574392
104	0.991591191	0.992354471	0.884932063	0.940703727
105	0.991888199	0.990952212	0.884772795	0.940069168
106	0.991835411	0.991334509	0.884272499	0.94074357
107	0.993525704	0.993342365	0.88526653	0.940967458
108	0.992436833	0.99442405	0.88467479	0.940881752
109	0.99236271	0.989988713	0.884908943	0.940713172
110	0.993298109	0.990351896	0.885061586	0.94039541
111	0.994132884	0.994891068	0.885311416	0.941113902
112	0.994694146	0.994838278	0.885332259	0.941078611
113	0.994975266	0.996694454	0.88520021	0.941121276
114	0.992590919	0.992421943	0.884380319	0.940626819
115	0.995258401	0.995651263	0.885398446	0.941004301
116	0.995859828	0.99510976	0.88546457	0.941033266
117	0.997441441	0.998075637	0.885726048	0.941381995
118	0.996195851	0.995357314	0.885418913	0.94097819
119	0.997106027	0.997448674	0.885635558	0.941310052
120	0.996956286	0.997221625	0.885494908	0.94113957
121	0.996042457	0.995961553	0.885453135	0.941142854
122	0.998434002	0.998983684	0.885848319	0.941523315
123	0.997926518	0.996345213	0.885761017	0.940945131
124	0.998933116	0.999587491	0.885871287	0.941512549
125	0.999336703	0.999708757	0.885954376	0.941572324
126	0.999092609	0.999405768	0.885899708	0.94154309
127	0.999879355	0.999871287	0.886007836	0.941583157			
				
